GENERAL FEATURES
media queries
custom properties (variables)
@font-face
@supports
prefers-color-scheme
-webkit aliases

animation 0.65394652
alias-webkit-animation 0.38114118
animation-timing-function 0.45205535
alias-webkit-animation-timing-function 0.19600275
animation-duration 0.42835075
animation-name 0.42054965
animation-delay 0.34713532
animation-iteration-count 0.30425904
animation-fill-mode 0.29742161
animation-direction 0.17176019
alias-webkit-animation-duration 0.15607146
alias-webkit-animation-name 0.14553912
animation-play-state 0.10978769
alias-webkit-animation-delay 0.10482008
alias-webkit-animation-iteration-count 0.10134854
alias-webkit-animation-fill-mode 0.09579226
webkit-animation-direction 0.05993157

SCROLL BEHAVIOUR
scroll-boundary-behavior 0.15242205
scroll-behavior 0.14141919
scroll-snap-type 0.12430065
scroll-snap-align 0.07612501
scroll-padding 0.05816664
scroll-boundary-behavior-y 0.05219484

CURSOR & POINTER EVENTS
user-select 0.64260477
webkit-user-select 0.63796575
pointer-events 0.66359819
touch-action 0.39578092
webkit-tap-highlight-color-0 0.58859341
caret-color 0.11926632
webkit-user-drag 0.07757608

CONTAINER QUERIES
container 0.0655397

@PAGE
size 0.07214526
page-break-inside 0.05486786

MULTI COLUMN LAYOUT
column-count 0.058331

UNKNOWN
variable 0.61108839
speak 0.11741392

